Source name,src,R.A (J2000),DEC (J2000),l(deg),b(deg),Flux(1.4GHz) in Jy,Tsky (K),nhi,signhi,nhithin,signhithin,rhi,sigrhi,nhicnm,signhicnm,nhiwnm,signhiwnm,fcnm,sigfcnm
J055955+190852 (4C+19.18) ,4C+19.18,05:59:55.70,19:08:52.50,190.09,-2.17,1.03,4.45,108.0633249208813,3.519982825178329,51.69298563688881,0.08502882479300272,2.090483333269995,0.06818077827938653,44.50624165399924,2.458844701622581,63.55708326688206,2.518801664056337,0.411853343274275,0.02641413608014182
J060157+192216 (4C+19.19) ,4C+19.19,06:01:57.97,19:22:16.30,190.13,-1.64,0.8,4.43,90.57893642738253,3.195791447529208,54.68537953979513,0.07998627808750246,1.65636477591725,0.058489792161067124,33.37420715870449,1.171838797328341,57.20472926867804,2.973193032612732,0.3684543943112063,0.018340253208833465
J061857+133631 (4C+13.32) ,4C+13.32,06:18:57.50,13:36:31.50,197.15,-0.85,1.96,4.86,82.83916448988411,3.801820702331135,58.56498261533928,0.08494180260920535,1.414482866561749,0.06494868751491165,44.30620288374082,1.681470643332249,38.5329616061433,3.40976496672211,0.5348460858649928,0.031851635499523044
J054211+290147 (4C+29.19) ,4C+29.19,05:42:11.81,29:01:48,179.53,-0.59,0.98,4.13,67.46145158684173,29.57460904135268,46.6488610728294,0.1017421315234175,1.4461543119245546,0.6339913635538996,11.25399156672202,0.5138485079283263,56.2074600201197,29.5701447351845,0.16682107043360886,0.07352872892768096
J063313+081318 (4C+08.21) ,4C+08.21,06:33:13.01,08:13:18.90,203.54,-0.27,1.1,4.46,84.58793678551929,3.685046026031884,53.91968352837516,0.0767090954942906,1.5687765812090682,0.06837967459634872,28.23023925221024,2.083693614123181,56.35769753330904,3.039372490570325,0.3337383594517819,0.02860412241602486
J060351+215937 (4C+22.12) ,4C+22.12,06:03:51.56,21:59:37.50,188.07,0.04,2.77,5.15,62.22647366914087,1.502356711460545,45.99948817953697,0.08517107866034283,1.3527644791670212,0.032756195626529254,16.2414607014075,0.5096166649978755,45.98501296773337,1.413282188109291,0.26100564187139386,0.010333485524197454
J062141+143211 (3C158) ,3C158,06:21:41.09,14:32:11.90,196.64,0.17,2.24,4.86,86.95387610969276,1.523953766118021,52.39679231967729,0.08778521423491562,1.6595267049780407,0.029217459158790437,37.08247756523496,1.172144867300659,49.8713985444578,0.9739155463006117,0.4264614669788294,0.015413487083083084
J063215+102201 (4C+10.20) ,4C+10.20,06:32:15.34,10:22:01.10,201.53,0.51,2.38,5.0,80.1336599881246,5.047045482258237,52.00164044885243,0.1059504500624705,1.5409833093042933,0.09710627473653435,45.95033501886725,4.422453774192926,34.18332496925736,2.431989045022617,0.573421144443881,0.06595536374280013
J062545+144019 (4C+14.18) ,4C+14.18,06:25:45.97,14:40:19.70,196.98,1.1,2.44,5.01,78.9990437166932,0.2557602298218696,47.85682107776873,0.01781053975219317,1.6507373857598575,0.005379474107810973,46.35354080260021,0.1883377777455972,32.64550291409299,0.1730380785618749,0.5867607836980094,0.003048335426191205
J064516+053132 (3C167) ,3C167,06:45:16.84,05:31:32.00,207.31,1.15,1.33,4.76,66.19638085188286,2.516347565480581,49.31505986780572,0.08445229968817887,1.3423157353824435,0.05107769824267484,28.295994978483,2.007205517247513,37.90038587339987,1.517607024835873,0.42745531725966196,0.03440135469272889
J053752+361112 (4C+36.10) ,4C+36.10,05:37:52.39,36:11:13,172.98,2.44,1.04,4.34,80.06121592424918,3.532372534394027,42.42317954264637,0.1123200853630169,1.8872045138381661,0.08341493601314658,38.77117577027725,2.122547898247088,41.29004015397194,2.823552043329139,0.48426913484502954,0.034049749706137555
J062019+210229 ,J062019+210229,06:20:19.54,21:02:29.70,190.74,2.94,0.9,4.33,52.72869642217611,0.8693601483193936,42.56449562231099,0.06824262453096966,1.2387952835164657,0.020520878567023264,26.50694644659107,0.2756236737882077,26.22174997558504,0.8245111630132183,0.5027043762728608,0.009798956586286111
J062250+220025 (4C+22.16) ,4C+22.16,06:22:50.64,22:00:25.60,190.16,3.91,1.06,4.34,62.81649813374119,0.2387817588466586,47.64591083264499,0.06878597863295942,1.318402713600806,0.005360861422111819,21.14533237526211,0.2239201014284964,41.67116575847908,0.08292476429966945,0.3366206809275178,0.0037873743860266547
J065601+083407 (4C+08.23) ,4C+08.23,06:56:01.03,08:34:07.10,205.81,4.91,0.68,4.12,23.32237145270334,8.239101090180515,22.49422128186092,0.06094434095874991,1.0368161298168712,0.36628711380098306,1.481487735585479,5.400628956636142,21.84088371711786,6.222217743454257,0.06352217391742798,0.23264910840202738
J063451+190940 ,J063451+190940,06:34:51.38,19:09:40.90,193.99,5.1,0.84,4.31,38.7016248437336,3.561321660362339,35.63133777576901,0.09423594047470293,1.0861681671141892,0.09999041543395963,12.14188342941165,2.169304231523577,26.55974141432195,2.824381546402659,0.31373058569083856,0.0630497850088606
J065917+081331 ,J065917+081331,06:59:17.97,08:13:31.80,206.48,5.48,0.91,4.12,21.36132678497147,0.2252825452482233,20.67928318720631,0.05037682662750945,1.0329819748388147,0.011180980030398004,1.652557803472106,0.04358563586223651,19.70876898149937,0.2210260562467744,0.07736213298486427,0.0021974744392235235
J065548+104258 (4C+10.21) ,4C+10.21,06:55:48.36,10:42:58.80,203.85,5.82,0.91,4.15,19.11832826121911,1.12598591884364,18.95329033297624,0.05426361827390227,1.0087076135775603,0.05947861943179082,1.677801362952087,0.4633337304165795,17.44052689826702,1.026238833650536,0.08775879041450768,0.024780080562520942
J064841+144020 (4C+14.20) ,4C+14.20,06:48:41.15,14:40:20.60,199.52,6.04,1.03,4.17,20.97966180441107,0.5740166377621918,19.13906554219795,0.06113109664500629,1.0961695991977747,0.030195556786272455,4.323559491853964,0.105076013543971,16.6561023125571,0.5643174034225054,0.20608337408684615,0.007541766590814232
J071523+031105 (4C+03.12) ,4C+03.12,07:15:23.75,03:11:05.00,212.82,6.78,0.67,3.97,17.8835848166981,8.385427054579878,17.36982295359909,0.06784610346980849,1.0295778410909224,0.4827750989950274,2.853144788650289,6.382215429643423,15.03044002804781,5.43899927351545,0.15953986954485078,0.364631641495743
J071004+061705 (4C+06.28) ,4C+06.28,07:10:04.83,06:17:05.40,209.43,7.0,0.58,4.05,20.38995650148708,0.3271062061977497,19.19991772866821,0.08565976911086885,1.0619814516726793,0.017683410205393827,3.163911099963619,0.1882157939720233,17.22604540152346,0.267531839287524,0.15517007599956717,0.009560572217196896
J071924+021035 ,J071924+021035,07:19:24.88,02:10:35.80,214.18,7.22,0.66,3.87,16.80061417243682,0.2131646199188978,15.72526992139051,0.076890903135895,1.0683831982803398,0.014527322392942826,3.360103095688243,0.1160499383894847,13.44051107674858,0.1788059478456043,0.19999882511443223,0.0073588415770846965
J064524+212145 (3C166) ,3C166,06:45:24.08,21:21:45.70,193.12,8.3,2.59,4.8,23.42671634408133,0.1434922013186846,19.85037133644465,0.05487720447127825,1.1801651438666352,0.007930866622719544,10.01273425960908,0.1127382642988805,13.41398208447225,0.08876990256927003,0.4274066460081913,0.005478372369277171
J071028+091954 (4C+09.27) ,4C+09.27,07:10:28.52,09:19:54.30,206.72,8.44,1.02,4.09,15.43845092253851,1.205208820518735,15.11172639849412,0.04885403627192346,1.0216205955182558,0.07982157645216137,5.190261914805926,0.5159103844131198,10.24818900773259,1.089203734987567,0.3361905893828176,0.04249122317568946
J072140+053050 (PKS0719+056) ,PKS0719+056,07:21:40.87,05:30:50.90,211.43,9.23,0.83,4.01,14.50476007826321,0.20577147418803,13.69099120866258,0.0572057919414444,1.0594382727443241,0.01566804327933663,1.740113258750409,0.07152951677348394,12.7646468195128,0.1929389225108997,0.11996842756180003,0.0052168741038944606
J070001+170922 ,J070001+170922,07:00:01.52,17:09:22.30,198.47,9.58,0.65,4.09,11.50653367690661,0.6002741957674161,11.45609171892093,0.03172705162330362,1.004403068622641,0.05247159940832854,0.5120106171336694,0.118339854345214,10.99452305977294,0.5884936609495227,0.044497381358320334,0.010543301450293717
J065937+211742 (4C+21.22) ,4C+21.22,06:59:37.81,21:17:42.20,194.63,11.26,0.57,3.98,8.934083655278867,0.3850511956967614,8.707635214092722,0.05223714224143539,1.0260057335451598,0.044646256077536674,0.3855974193269239,0.04529795648045835,8.548486235951943,0.3823774554627929,0.043160265138001766,0.005400701272548113
J071404+143620 (3C175.1) ,3C175.1,07:14:04.70,14:36:20.90,202.29,11.53,1.93,4.38,7.746191814624766,0.2579167901789378,7.827947350923295,0.03237420380981343,0.9895559419815355,0.03320139739367569,1.000665255810801,0.0629230076256895,6.745526558813966,0.2501235010300784,0.12918157460567276,0.00919157751107628
J072551+103202 (4C+10.22) ,4C+10.22,07:25:51.27,10:32:02.30,207.31,12.37,1.23,4.09,8.795564984603946,0.2701194242140967,8.839394823579193,0.03659506676770186,0.9950415339681026,0.030835001562665967,1.798145511288787,0.2623381879032716,6.997419473315158,0.06436752679249774,0.20443774952903215,0.030479839985613006
J070937+195443 (4C+19.26) ,4C+19.26,07:09:37.27,19:54:43.00,196.91,12.8,0.69,4.03,9.915544879083757,1.100767721527556,9.642333791283182,0.04278149052886682,1.0283345395123702,0.11425102349818317,1.664583148692444,0.6092325911075451,8.250961730391314,0.9168016288649105,0.1678761146252065,0.06420642645984968
J072525+123624 (PKS0722+12) ,PKS0722+12,07:25:25.60,12:36:24.60,205.35,13.17,0.61,3.77,8.285043908649138,0.7525002777718569,8.022556937589455,0.04678339128194975,1.0327186174061052,0.09399119068826048,0.524851897628469,0.4201354228290908,7.760192011020669,0.6242939167819457,0.06334931998134034,0.05103548302725755
J072832+121010 (4C+12.30) ,4C+12.30,07:28:32.88,12:10:10.50,206.09,13.67,1.07,3.92,6.405018441881611,0.3996168321655436,6.425482750223418,0.03088559544579856,0.9968151329421754,0.06237679658277221,0.2603057669149673,0.03027604548221694,6.144712674966643,0.3984682843338764,0.040640908262318275,0.005364072323568125
J072516+142513 (4C+14.23) ,4C+14.23,07:25:16.80,14:25:13.50,203.64,13.91,1.07,3.87,7.607484369835254,0.2356122535592244,7.637801856791425,0.03687849414947291,0.9960306004889073,0.03122080783128201,4.394128546315364,0.1895421879889216,3.21335582351989,0.1399531814559018,0.5776059907186536,0.03067227345881619
J072810+143736 (3C181) ,3C181,07:28:10.26,14:37:36.00,203.75,14.63,2.3,4.53,7.574812004241707,0.4533998551501934,7.292214410071784,0.03664216066590182,1.0387533303710335,0.062394583124385464,1.380785672584224,0.110360754638414,6.194026331657483,0.4397634960815371,0.18228646094596385,0.018202145626926302
J071810+201002 (PKS0715+20) ,PKS0715+20,07:18:10.64,20:10:02.70,197.52,14.74,0.73,3.98,8.139151918614129,0.3118967289005935,7.908469552760021,0.03737554976033083,1.029169027498323,0.03973711192705675,0.5986493658359642,0.08507733707972433,7.540502552778166,0.3000690190844654,0.07355181127248175,0.010826184875649866
J073035+151512 (4C+15.20) ,4C+15.20,07:30:35.41,15:15:12.60,203.42,15.42,1.54,4.23,5.39598717914199,0.6218614608627169,5.353366836405704,0.02800518100445597,1.00796140896724,0.11628230043935191,0.07831135434374845,0.02205783915194323,5.317675824798242,0.6214701346309889,0.014512887400188496,0.004416750557570654
J073037+173951 (4C+17.41) ,4C+17.41,07:30:37.09,17:39:51.50,201.13,16.42,0.69,3.94,6.322185211606345,0.5566579020212278,5.883836759017645,0.0445880428614765,1.0745004442750525,0.09495773764794137,1.466632384079966,0.400857651481945,4.855552827526379,0.3862397741443188,0.23198187572668771,0.06661373624482868
